
2023/04/08 (17:00:28) | ===> btop++ v.1.2.13
2023/04/08 (17:00:28) | INFO: Logger set to INFO
2023/04/08 (17:00:29) | INFO: Logger set to DEBUG
2023/04/08 (17:00:29) | INFO: Logger set to INFO
2023/04/08 (17:00:32) | INFO: Logger set to INFO
2023/04/08 (17:01:34) | INFO: Quitting! Runtime: 00:03:18

2023/04/08 (20:09:17) | ===> btop++ v.1.2.13
2023/04/08 (20:09:17) | INFO: Logger set to INFO
2023/04/08 (20:09:17) | INFO: Running on /dev/pts/0
2023/04/08 (20:09:41) | INFO: Quitting! Runtime: 00:00:24

2023/04/08 (20:09:44) | ===> btop++ v.1.2.13
2023/04/08 (20:09:44) | INFO: Logger set to INFO
2023/04/08 (20:09:44) | INFO: Running on /dev/pts/0

2023/04/08 (20:11:22) | ===> btop++ v.1.2.13
2023/04/08 (20:11:22) | INFO: Logger set to INFO
2023/04/08 (20:11:22) | INFO: Running on /dev/pts/1

2023/04/08 (20:11:34) | ===> btop++ v.1.2.13
2023/04/08 (20:11:34) | INFO: Logger set to INFO
2023/04/08 (20:11:34) | INFO: Running on /dev/pts/1

2023/04/08 (20:11:59) | ===> btop++ v.1.2.13
2023/04/08 (20:11:59) | INFO: Logger set to INFO
2023/04/08 (20:11:59) | INFO: Running on /dev/pts/16

2023/04/09 (15:53:17) | ===> btop++ v.1.2.13
2023/04/09 (15:53:17) | INFO: Logger set to INFO
2023/04/09 (15:53:17) | INFO: Running on /dev/pts/4

2023/04/09 (15:53:17) | ===> btop++ v.1.2.13
2023/04/09 (15:53:17) | INFO: Logger set to INFO
2023/04/09 (15:53:17) | INFO: Running on /dev/pts/5
2023/04/09 (15:53:21) | INFO: Quitting! Runtime: 00:00:04
2023/04/09 (15:53:23) | INFO: Quitting! Runtime: 00:00:06

2023/04/09 (16:16:37) | ===> btop++ v.1.2.13
2023/04/09 (16:16:37) | INFO: Logger set to INFO
2023/04/09 (16:16:37) | INFO: Running on /dev/pts/4
2023/04/09 (16:16:39) | INFO: Quitting! Runtime: 00:00:02
